id,name,ascii,alt_name,lat,long,feat_class,feat_code,country,cc2,admin1,admin2,admin3,admin4,population,elevation,dem,tz,modified_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5881791,Abbotsford,Abbotsford,Abbotsford,YXX,Абботсфорд,49.05798,-122.25257,P,PPL,CA,,2,5957659,,,151683,,114,America/Vancouver,2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882142,Acton Vale,Acton Vale,,45.65007,-72.56582,P,PPL,CA,,10,16,,,5135,,90,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882799,Airdrie,Airdrie,Erdri,ai er de li,ayrdray,ayrdry,eeodeuli,Ердри,إيردراي,ائرڈرائ,ایردری,艾尔德里,에어드리,51.30011,-114.03528,P,PPL,CA,,1,,,,24673,,1086,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5896522,Beaumont,Beaumont,,53.35013,-113.41871,P,PPL,CA,,1,,,,7366,,716,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5897209,Bécancour,Becancour,Bekankur,bkankwr, kbk,bykankwr, kybk,byknkwr,Беканкур,بيكانكور، كيبك,بکانکور، کبک,بیکنکور,46.33336,-72.43241,P,PPL,CA,,10,4,,,11134,,10,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5897884,Belleville,Belleville,Bel'vil',Belvil,Bilivailas,belbil,berubiru,bylfy, awntaryw,Белвил,Бельвиль,بيلفي، أونتاريو,بیلول، اونٹاریو,بیلی ولے,ベルビル,벨빌,44.16682,-77.38277,P,PPL,CA,,8,,,,49454,,93,America/Toronto,2013-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5898070,Bells Corners,Bells Corners,Bells Corners,Ottawa Bells Corners,45.31588,-75.83012,P,PPL,CA,,8,,,,9977,,96,America/Toronto,2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5898138,Beloeil,Beloeil,,45.56678,-73.19915,P,PPL,CA,,10,16,,,18927,,4,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5903510,Blainville,Blainville,,45.66678,-73.88249,P,PPL,CA,,10,15,,,46493,,73,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5904501,Bluewater,Bluewater,,43.46679,-81.59977,P,PPL,CA,,8,,,,7044,,249,America/Toronto,2013-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905132,Boisbriand,Boisbriand,,45.61678,-73.83249,P,PPL,CA,,10,15,,,26483,,30,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905152,Bois-des-Filion,Bois-des-Filion,,45.66678,-73.74918,P,PPL,CA,,10,,,,8383,,17,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905616,Bonnyville,Bonnyville,Bonivil,YBY,Бонивил,54.26684,-110.73505,P,PPL,CA,,1,,,,6003,,555,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906267,Boucherville,Boucherville,Bushervil,Bushervil',bushavu~iru,bwshyfyl, kybk,Бушервил,Бушервиль,باؤچرولے,بوشيفيل، كيبك,ブーシャーヴィル,45.59104,-73.43605,P,PPL,CA,,10,16,,,39062,,16,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907092,Bracebridge,Bracebridge,,45.03341,-79.31633,P,PPL,CA,,8,,,,8238,,240,America/Toronto,2006-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907180,Bradford West Gwillimbury,Bradford West Gwillimbury,,44.11681,-79.61633,P,PPL,CA,,8,,,,18811,,264,America/Toronto,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907364,Brampton,Brampton,Brampton,Bramptonas,Bramptono,Bramptun,XPN,barampatana,beulaemteon,braimpatana,brambtwn,bramptan,bramtana,bu lan pu dun,buranputon,piramptan,Брамптон,Брамптън,برامبتون,برامپٹن، انٹاریو,بریمپٹن,ब्राम्टन,ब्रैंपटन,ਬਰਾਂਪਟਨ,பிராம்ப்டன்,బ్రాంప్టన్,ബ്രംപ്ടൺ,බ්‍රැම්ටන්,ブランプトン,布兰普顿,브램턴,43.68341,-79.76633,P,PPL,CA,,8,,,,433806,,221,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907896,Brandon,Brandon,Brandon,Branton,Brehndon,Brendon,YBR,bu lan deng,burandon,Μπράντον,Брандон,Брендон,Брэндон,برینڈن,ブランドン,布兰登,49.84692,-99.95306,P,PPL,CA,,3,,,,26234,,383,America/Winnipeg,2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907983,Brant,Brant,,43.1334,-80.34967,P,PPL,CA,,8,,,,34415,,245,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907990,Brantford,Brantford,Brantford,Brantfordas,XFV,beulaenteupeodeu,brantfwrd, awntaryw,burantofodo,Брантфорд,برانتفورد، أونتاريو,برانٹفورڈ,برینٹفورڈ,ブラントフォード,브랜트퍼드,43.1334,-80.26636,P,PPL,CA,,8,,,,87759,,200,America/Toronto,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5908723,Bridgewater,Bridgewater,,44.38345,-64.51546,P,PPL,CA,,7,,,,8070,,27,America/Halifax,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909294,Brockville,Brockville,Brokvil,Brokvill,Brukvailas,Gorad Brokvil,XBR,brwk-wl,brwkfyl, awntaryw,burokkubiru,Броквил,Броквилл,Горад Броквіл,بروكفيل، أونتاريو,بروک ولے,بروک-ول,ブロックビル,44.59132,-75.68705,P,PPL,CA,,8,,,,23886,,93,America/Toronto,2013-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909403,Bromont,Bromont,ZBM,45.31678,-72.64912,P,PPL,CA,,10,16,,,6049,,126,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909514,Brooks,Brooks,Broks,Bruks,beulugseu,brwks,Брукс,بروکس,ბროკსი,브룩스,50.58341,-111.88509,P,PPL,CA,,1,,,,12744,,748,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909629,Brossard,Brossard,Brosar,brwsar,burosado,Бросар,بروسار,بروسارڈ,ブロサード,45.45008,-73.46583,P,PPL,CA,,10,16,,,69575,,17,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909969,Brownsburg-Chatham,Brownsburg-Chatham,,45.68342,-74.4159,P,PPL,CA,,10,15,,,6664,,157,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5911592,Burlington,Burlington,Berlington,barinton,beollingteon,byrlynjtwn, awntaryw,Берлингтон,Берлінгтон,برلنگٹن,بيرلينجتون، أونتاريو,バーリントン,벌링턴,43.38621,-79.83713,P,PPL,CA,,8,,,,164415,,165,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5911606,Burnaby,Burnaby,Barnabis,Bernabi,Bjornabi,Burnabi,Burnaby,banabi,banabi shi,ben na bi,beonabi,brnyby,bwrnby,Бернаби,Бернабі,Бърнаби,Бёрнаби,Бөрнаби,برنابے، برٹش کولمبیا,برنیبی,بورنبي,バーナビー,バーナビー市,本那比,버나비,49.26636,-122.95263,P,PPL,CA,,2,,,,202799,,87,America/Vancouver,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5913490,Calgary,Calgary,Calgaria,Calgary,Gorad Kalgary,Kalgari,Kalgario,Kalgaris,Kalnkari,Kalqari,Kelgery,YYC,ka er jia li,kaelgeoli,kailagari,kalgari,kalghary,kalgry,kalkari,karugari,kelgari,kyalgari,qlgry,Κάλγκαρι,Горад Калгары,Калгари,Калгарі,Կալգարի,קלגרי,كالغاري,کالگری,कॅल्गारी,कैलगरी,கால்கரி,కాల్గరీ,ಕ್ಯಾಲ್ಗರಿ,แคลกะรี,ကယ်လ်ဂရီမြို့,კალგარი,カルガリー,卡尔加里,캘거리,51.05011,-114.08529,P,PPL,CA,,1,,,,1019942,1048,1042,America/Edmonton,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5913695,Cambridge,Cambridge,Kembridz,Kembridzh,jian qiao,kambrydj, awntaryw,kenburijji,kymbrj,Кембридж,Кембриџ,كامبريدج، أونتاريو,کیمبرج,ケンブリッジ,剑桥,43.3601,-80.31269,P,PPL,CA,,8,,,,120372,,272,America/Toronto,2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5913934,Camlachie,Camlachie,,43.03596,-82.1616,P,PPL,CA,,8,,,,7506,,200,America/Toronto,2011-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5914132,Campbell River,Campbell River,Kehmpbell-River,Kembel River,Kembell-River,YBL,kaembellibeo,kambl ryfr, kwlwmbya albrytanyt,kan bei er he,kyanberuriba,Кембел Ривер,Кембелл-Ривер,Кэмпбелл-Ривер,كامبل ريفر، كولومبيا البريطانية,キャンベルリバー,坎贝尔河,캠벨리버,50.01634,-125.24459,P,PPL,CA,,2,,,,33430,,65,America/Vancouver,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5914653,Camrose,Camrose,Kamrouz,Keimrozas,kmrwz,kym rwz,Камроуз,کمروز,کیم روز,53.01684,-112.83525,P,PPL,CA,,1,,,,15686,,739,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5914826,Candiac,Candiac,,45.38338,-73.51587,P,PPL,CA,,10,16,,,15947,,25,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5914894,Canmore,Canmore,Kanmor,kan mo er,Канмор,坎莫尔,51.08335,-115.35206,P,PPL,CA,,1,,,,12288,,1309,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5916722,Carbonear,Carbonear,,47.73319,-53.21478,P,PPL,CA,,5,,,,6814,,11,America/St_Johns,2006-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5917117,Carignan,Carignan,,45.45008,-73.29916,P,PPL,CA,,10,16,,,7426,,10,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5917158,Carleton Place,Carleton Place,,45.13341,-76.14938,P,PPL,CA,,8,,,,9743,,144,America/Toronto,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5918118,Castlegar,Castlegar,Kaslgar,YCG,ka si er jia,kaslghar, kwlwmbya albrytanyt,Каслгар,كاسلغار، كولومبيا البريطانية,卡斯尔加,49.29984,-117.66894,P,PPL,CA,,2,,,,8715,,613,America/Vancouver,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5919566,Chambly,Chambly,Shambli,chymbly,shambly, kbk,shwmbly, kybk,Шамбли,Шамблі,شامبلی، کبک,شومبلي، كيبك,چیمبلی,45.45008,-73.28246,P,PPL,CA,,10,16,,,22608,,4,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920089,Charlemagne,Charlemagne,,45.71678,-73.48247,P,PPL,CA,,10,14,,,5594,,7,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920288,Charlottetown,Charlottetown,Baile Shearlot,Baile Sheàrlot,Carlotauno,Carolinapolis,Charlottetown,Sarlotetaunas,Sarlottaoun,Sarlottaun,Sharlottaun,Sharluttaun,YYG,carlattavun,sharottotaun,syalleostaun,xia luo te dun,Ĉarlotaŭno,Şarlottaun,Šarlotetaunas,Σαρλοττάουν,Шарлоттаун,Шарлъттаун,שרלוטטאון,شارلوت‌تاون,சார்லட்டவுன்,შარლოტტაუნი,シャーロットタウン,夏洛特顿,샬럿타운,46.23525,-63.12671,P,PPLA,CA,,9,,,,42402,,12,America/Halifax,2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920433,Châteauguay,Chateauguay,,45.38338,-73.74919,P,PPL,CA,,10,16,,,42786,,19,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5921147,Chibougamau,Chibougamau,YMT,49.91684,-74.36586,P,PPL,CA,,10,10,,,7563,,407,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5921356,Chilliwack,Chilliwack,YCW,49.16638,-121.95257,P,PPLA2,CA,,2,5909,,,77000,,11,America/Vancouver,2013-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5923101,Clarence-Rockland,Clarence-Rockland,,45.5501,-75.29101,P,PPL,CA,,8,,,,20790,,55,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5924417,Coaldale,Coaldale,,49.7167,-112.61854,P,PPL,CA,,1,,,,6317,,865,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5924500,Coaticook,Coaticook,,45.13339,-71.79907,P,PPL,CA,,10,5,,,7021,,289,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5924579,Cobourg,Cobourg,Cobourg,Koburg,XGJ,ke bao,kwbwrgh, awntaryw,Кобург,كوبورغ، أونتاريو,科堡,43.95977,-78.16515,P,PPL,CA,,8,,,,18099,,82,America/Toronto,2013-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5924618,Cochrane,Cochrane,Kokran,Кокран,51.18341,-114.46871,P,PPL,CA,,1,,,,16365,,1143,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5925024,Cold Lake,Cold Lake,Kold Leikas,Kold Lejk,Kold Leyk,Kold-Lejk,YOD,kld lyk,leng hu shi,Колд Лейк,Колд Лејк,Колд-Лейк,کلد لیک,کولڈ لیک,冷湖市,54.46525,-110.18154,P,PPL,CA,,1,,,,11595,,555,America/Edmonton,2013-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5925975,Collingwood,Collingwood,Kolingvud,kwlynjwwd, awntaryw,Колингвуд,كولينجوود، أونتاريو,44.4834,-80.21638,P,PPL,CA,,8,,,,15809,,194,America/Toronto,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5926268,Colwood,Colwood,Kolvud,kwlwwd, kwlwmbya albrytanyt,Колвуд,كولوود، كولومبيا البريطانية,48.43293,-123.48591,P,PPL,CA,,2,,,,14687,,95,America/Vancouver,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5926511,Conception Bay South,Conception Bay South,,47.49989,-52.99806,P,PPL,CA,,5,,,,17087,,48,America/St_Johns,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5926526,Concord,Concord,,43.80011,-79.48291,P,PPL,CA,,8,,,,8255,,188,America/Toronto,2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5927689,Coquitlam,Coquitlam,Coquitlam,kokittoramu,kokittoramu shi,kokuittoramu,コキットラム,コキットラム市,コクイットラム,49.28297,-122.75262,P,PPL,CA,,2,,,,114565,,33,America/Vancouver,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5927969,Corner Brook,Corner Brook,YNF,48.95001,-57.95202,P,PPL,CA,,5,,,,18693,,4,America/St_Johns,2013-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5928065,Cornwall,Cornwall,Kornvol,YCC,kang wo er,karnwal,kwrnwal, awntaryw,Корнвол,كورنوال، أونتاريو,کارنوال,康沃尔,45.01809,-74.72815,P,PPL,CA,,8,,,,48821,,59,America/Toronto,2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5928488,Côte-Saint-Luc,Cote-Saint-Luc,,45.46536,-73.66585,P,PPL,CA,,10,,,,31395,,47,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
